C	R	TRAIT_CODE_CLEAN	StudyC	StudyR	DISEASE/TRAIT	N_C	COHORT_C	Cosine_C	PUBMED ID	MAPPED_GENE	PMID	Reported Trait	COHORT_R	N_R	Ancestry	Cosine_R	GeneCount	StudyTrait
GCST90002404	31992710	EFO_0009188	GCST90002404_EFO_0009188	31992710_EFO_0009188	Red cell distribution width	408112.0	UKB	1.0000004	32888494	300.0	31992710	Red blood cell (erythrocyte) distribution width	UKB	39306.0	EUR	0.7892389	3	31992710_EFO_0009188
GCST90002404	34662886	EFO_0009188	GCST90002404_EFO_0009188	34662886_EFO_0009188	Red cell distribution width	408112.0	UKB	1.0000004	32888494	300.0	34662886	30070_red_blood_cell_erythrocyte_distribution_width_inst_mean__rint	UKB	419168.27397260274	EUR	0.54354054	3	34662886_EFO_0009188
GCST90018862	34375979	EFO_0004705	GCST90018862_EFO_0004705	34375979_EFO_0004705	Hypothyroidism	583911.0	BBJ|UKB|FinnGen	1.0000004	34594039	41.0	34375979	Hypothyroidism|myxoedema	UKB	281104.0	EUR	0.8388517	16	34375979_EFO_0004705
GCST90204167	34375979	EFO_0004705	GCST90204167_EFO_0004705	34375979_EFO_0004705	Hypothyroidism	494577.0	UKB|FINNGEN	1.0000004	36093044	39.0	34375979	Hypothyroidism|myxoedema	UKB	281104.0	EUR	0.8388517	16	34375979_EFO_0004705
GCST007073	34375979	EFO_0004705	GCST007073_EFO_0004705	34375979_EFO_0004705	Hypothyroidism	459000.0		1.0000004	30595370	76.0	34375979	Hypothyroidism|myxoedema	UKB	281104.0	EUR	0.8388517	16	34375979_EFO_0004705
GCST90018642	34375979	EFO_0004705	GCST90018642_EFO_0004705	34375979_EFO_0004705	Hypothyroidism	173770.0	BBJ	1.0000004	34594039	4.0	34375979	Hypothyroidism|myxoedema	UKB	281104.0	EUR	0.8388517	16	34375979_EFO_0004705
GCST90435379	24212883	EFO_0000676	GCST90435379_EFO_0000676	24212883_EFO_0000676	Psoriasis	925649.0	FinnGen|EB|UKB	1.0000002	38763176	4.0	24212883	Psoriasis	Psoriasis	1457.0	EAS	1.0000001	6	24212883_EFO_0000676
GCST90435379	36138231	EFO_0000676	GCST90435379_EFO_0000676	36138231_EFO_0000676	Psoriasis	925649.0	FinnGen|EB|UKB	1.0000002	38763176	4.0	36138231	Psoriasis	UKB	166954.0	EUR	1.0	15	36138231_EFO_0000676
GCST000834	34375979	EFO_0000676	GCST000834_EFO_0000676	34375979_EFO_0000676	Psoriasis	4377.0		1.0000004	20953189	4.0	34375979	Psoriasis	UKB	244690.0	EUR	1.0000001	31	34375979_EFO_0000676
GCST000834	24212883	EFO_0000676	GCST000834_EFO_0000676	24212883_EFO_0000676	Psoriasis	4377.0		1.0000004	20953189	4.0	24212883	Psoriasis	Psoriasis	1457.0	EAS	1.0000001	6	24212883_EFO_0000676
GCST000834	36138231	EFO_0000676	GCST000834_EFO_0000676	36138231_EFO_0000676	Psoriasis	4377.0		1.0000004	20953189	4.0	36138231	Psoriasis	UKB	166954.0	EUR	1.0	15	36138231_EFO_0000676
GCST90435380	34375979	EFO_0000676	GCST90435380_EFO_0000676	34375979_EFO_0000676	Psoriasis	69688.0	CMUH|BBJ	1.0000001	38757301	85.0	34375979	Psoriasis	UKB	244690.0	EUR	1.0000001	31	34375979_EFO_0000676
GCST90435380	24212883	EFO_0000676	GCST90435380_EFO_0000676	24212883_EFO_0000676	Psoriasis	69688.0	CMUH|BBJ	1.0000001	38757301	85.0	24212883	Psoriasis	Psoriasis	1457.0	EAS	1.0000001	6	24212883_EFO_0000676
GCST90435380	36138231	EFO_0000676	GCST90435380_EFO_0000676	36138231_EFO_0000676	Psoriasis	69688.0	CMUH|BBJ	1.0000001	38757301	85.0	36138231	Psoriasis	UKB	166954.0	EUR	1.0	15	36138231_EFO_0000676
GCST002738	34375979	EFO_0000676	GCST002738_EFO_0000676	34375979_EFO_0000676	Psoriasis	12244.0		1.0000002	25574825	12.0	34375979	Psoriasis	UKB	244690.0	EUR	1.0000001	31	34375979_EFO_0000676
GCST002738	24212883	EFO_0000676	GCST002738_EFO_0000676	24212883_EFO_0000676	Psoriasis	12244.0		1.0000002	25574825	12.0	24212883	Psoriasis	Psoriasis	1457.0	EAS	1.0000001	6	24212883_EFO_0000676
GCST002738	36138231	EFO_0000676	GCST002738_EFO_0000676	36138231_EFO_0000676	Psoriasis	12244.0		1.0000002	25574825	12.0	36138231	Psoriasis	UKB	166954.0	EUR	1.0	15	36138231_EFO_0000676
GCST002889	34375979	EFO_0000676	GCST002889_EFO_0000676	34375979_EFO_0000676	Psoriasis	11693.0		1.0000002	25939698	3.0	34375979	Psoriasis	UKB	244690.0	EUR	1.0000001	31	34375979_EFO_0000676
GCST002889	24212883	EFO_0000676	GCST002889_EFO_0000676	24212883_EFO_0000676	Psoriasis	11693.0		1.0000002	25939698	3.0	24212883	Psoriasis	Psoriasis	1457.0	EAS	1.0000001	6	24212883_EFO_0000676
GCST002889	36138231	EFO_0000676	GCST002889_EFO_0000676	36138231_EFO_0000676	Psoriasis	11693.0		1.0000002	25939698	3.0	36138231	Psoriasis	UKB	166954.0	EUR	1.0	15	36138231_EFO_0000676
GCST003268	34375979	EFO_1001494	GCST003268_EFO_1001494	34375979_EFO_1001494	Psoriasis vulgaris	8941.0		1.0000002	26626624	20.0	34375979	Psoriasis vulgaris	UKB	215900.0	EUR	1.0000001	7	34375979_EFO_1001494
GCST90002332	34662886	EFO_0004528	GCST90002332_EFO_0004528	34662886_EFO_0004528	Mean corpuscular hemoglobin concentration	642173.0	Airwave|BBJ|BioME|CaPS|CHS|CHS|Estonia|Estonia|FHS|FINCAVAS|HANDLS|INTERVAL|JHS|MESA|MHIphase1|MHIphase2|RS|RS|RSI|SHIP|SHIPNATREND|UKB|WHI|YFS	1.0000002	32888493	90.0	34662886	Mean corpuscular haemoglobin concentration (30060)	UKB	419146.6	EUR	0.92126155	10	34662886_EFO_0004528
GCST90018965	34375979	EFO_0004528	GCST90018965_EFO_0004528	34375979_EFO_0004528	Mean corpuscular hemoglobin concentration	485950.0	BBJ|UKB	1.0000002	34594039	64.0	34375979	Haemoglobin concentration	UKB	261246.0	EUR	0.7743919	10	34375979_EFO_0004528
GCST90018965	34662886	EFO_0004528	GCST90018965_EFO_0004528	34662886_EFO_0004528	Mean corpuscular hemoglobin concentration	485950.0	BBJ|UKB	1.0000002	34594039	64.0	34662886	Mean corpuscular haemoglobin concentration (30060)	UKB	419146.6	EUR	0.92126155	10	34662886_EFO_0004528
GCST90025962	34375979	EFO_0004528	GCST90025962_EFO_0004528	34375979_EFO_0004528	Mean corpuscular hemoglobin concentration	443081.0	UKB	1.0000002	34226706	20.0	34375979	Haemoglobin concentration	UKB	261246.0	EUR	0.7743919	10	34375979_EFO_0004528
GCST90025962	34662886	EFO_0004528	GCST90025962_EFO_0004528	34662886_EFO_0004528	Mean corpuscular hemoglobin concentration	443081.0	UKB	1.0000002	34226706	20.0	34662886	Mean corpuscular haemoglobin concentration (30060)	UKB	419146.6	EUR	0.92126155	10	34662886_EFO_0004528
GCST004605	34375979	EFO_0004528	GCST004605_EFO_0004528	34375979_EFO_0004528	Mean corpuscular hemoglobin concentration	172851.0		1.0000002	27863252	40.0	34375979	Haemoglobin concentration	UKB	261246.0	EUR	0.7743919	10	34375979_EFO_0004528
GCST004605	34662886	EFO_0004528	GCST004605_EFO_0004528	34662886_EFO_0004528	Mean corpuscular hemoglobin concentration	172851.0		1.0000002	27863252	40.0	34662886	Mean corpuscular haemoglobin concentration (30060)	UKB	419146.6	EUR	0.92126155	10	34662886_EFO_0004528
GCST90018745	34375979	EFO_0004528	GCST90018745_EFO_0004528	34375979_EFO_0004528	Mean corpuscular hemoglobin concentration	135482.0	BBJ	1.0000002	34594039	27.0	34375979	Haemoglobin concentration	UKB	261246.0	EUR	0.7743919	10	34375979_EFO_0004528
GCST90018745	34662886	EFO_0004528	GCST90018745_EFO_0004528	34662886_EFO_0004528	Mean corpuscular hemoglobin concentration	135482.0	BBJ	1.0000002	34594039	27.0	34662886	Mean corpuscular haemoglobin concentration (30060)	UKB	419146.6	EUR	0.92126155	10	34662886_EFO_0004528
GCST000907	34375979	EFO_0000681	GCST000907_EFO_0000681	34375979_EFO_0000681	Renal cell carcinoma	12277.0		1.0000002	21131975	3.0	34375979	Renal cell carcinoma	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000681
GCST008225	34375979	EFO_0000681	GCST008225_EFO_0000681	34375979_EFO_0000681	Renal cell carcinoma	5087.0		1.0000001	31231134	3.0	34375979	Renal cell carcinoma	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000681
GCST004710	34375979	EFO_0000681	GCST004710_EFO_0000681	34375979_EFO_0000681	Renal cell carcinoma	31190.0		1.0000002	28598434	16.0	34375979	Renal cell carcinoma	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000681
GCST000693	34131117	GO_0070527	GCST000693_GO_0070527	34131117_GO_0070527	Platelet aggregation	3991.0		1.0000002	20526338	5.0	34131117	Aggregation of activated platelets	TOPMed	3855.0	EUR, AFR	0.88700205	4	34131117_GO_0070527
GCST006897	34375979	EFO_0009189	GCST006897_EFO_0009189	34375979_EFO_0009189	Hyperthyroidism	51823.0		1.0000002	30367059	5.0	34375979	Th[hyperthyroidism]	UKB	281104.0	EUR	0.89029974	15	34375979_EFO_0009189
GCST90018860	34375979	EFO_0009189	GCST90018860_EFO_0009189	34375979_EFO_0009189	Hyperthyroidism	634149.0	BBJ|UKB|FinnGen	1.0000002	34594039	4.0	34375979	Th[hyperthyroidism]	UKB	281104.0	EUR	0.89029974	15	34375979_EFO_0009189
GCST90128471	32415273	MONDO_0005090	GCST90128471_MONDO_0005090	32415273_MONDO_0005090	Schizophrenia	175799.0	multiple	1.0000002	35396580	469.0	32415273	SCZD	SCZD	6135.0	EUR	0.8515945	25	32415273_MONDO_0005090
GCST011768	34375979	MONDO_0005090	GCST011768_MONDO_0005090	34375979_MONDO_0005090	Schizophrenia	207659.0		1.0000002	33169155	5.0	34375979	Schizophrenia	UKB	195468.0	EUR	1.0	24	34375979_MONDO_0005090
GCST011768	32415273	MONDO_0005090	GCST011768_MONDO_0005090	32415273_MONDO_0005090	Schizophrenia	207659.0		1.0000002	33169155	5.0	32415273	SCZD	SCZD	6135.0	EUR	0.8515945	25	32415273_MONDO_0005090
GCST90053836	34375979	MONDO_0005090	GCST90053836_MONDO_0005090	34375979_MONDO_0005090	Schizophrenia	143438.0	NR	1.0000002	34380480	10.0	34375979	Schizophrenia	UKB	195468.0	EUR	1.0	24	34375979_MONDO_0005090
GCST90053836	32415273	MONDO_0005090	GCST90053836_MONDO_0005090	32415273_MONDO_0005090	Schizophrenia	143438.0	NR	1.0000002	34380480	10.0	32415273	SCZD	SCZD	6135.0	EUR	0.8515945	25	32415273_MONDO_0005090
GCST011769	34375979	MONDO_0005090	GCST011769_MONDO_0005090	34375979_MONDO_0005090	Schizophrenia	177741.0		1.0000002	33169155	13.0	34375979	Schizophrenia	UKB	195468.0	EUR	1.0	24	34375979_MONDO_0005090
GCST011769	32415273	MONDO_0005090	GCST011769_MONDO_0005090	32415273_MONDO_0005090	Schizophrenia	177741.0		1.0000002	33169155	13.0	32415273	SCZD	SCZD	6135.0	EUR	0.8515945	25	32415273_MONDO_0005090
GCST90053835	34375979	MONDO_0005090	GCST90053835_MONDO_0005090	34375979_MONDO_0005090	Schizophrenia	66342.0	NR	1.0000002	34380480	3.0	34375979	Schizophrenia	UKB	195468.0	EUR	1.0	24	34375979_MONDO_0005090
GCST90053835	32415273	MONDO_0005090	GCST90053835_MONDO_0005090	32415273_MONDO_0005090	Schizophrenia	66342.0	NR	1.0000002	34380480	3.0	32415273	SCZD	SCZD	6135.0	EUR	0.8515945	25	32415273_MONDO_0005090
GCST90432100	34375979	HP_0002321	GCST90432100_HP_0002321	34375979_HP_0002321	Vertigo	60786.0	TWB	1.0000004	39174713	4.0	34375979	Vertigo	UKB	281104.0	EUR	1.0000002	11	34375979_HP_0002321
GCST90018910	20549515	EFO_0000685	GCST90018910_EFO_0000685	20549515_EFO_0000685	Rheumatoid arthritis	595872.0	BBJ|UKB|FinnGen	1.0000002	34594039	11.0	20549515	Rheumatoid arthritis	WTCCC	4798.0	EUR	1.0000001	5	20549515_EFO_0000685
GCST90131437	34375979	EFO_0000685	GCST90131437_EFO_0000685	34375979_EFO_0000685	Rheumatoid arthritis	1026690.0	UKB|FinnGen|EIRA|EIMS|Umea|CHB|Other	1.0000002	35470158	26.0	34375979	Rheumatoid arthritis	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000685
GCST90131437	20549515	EFO_0000685	GCST90131437_EFO_0000685	20549515_EFO_0000685	Rheumatoid arthritis	1026690.0	UKB|FinnGen|EIRA|EIMS|Umea|CHB|Other	1.0000002	35470158	26.0	20549515	Rheumatoid arthritis	WTCCC	4798.0	EUR	1.0000001	5	20549515_EFO_0000685
GCST90446530	34375979	EFO_0000685	GCST90446530_EFO_0000685	34375979_EFO_0000685	Rheumatoid arthritis	459138.0	UKB	1.0000002	37947095	5.0	34375979	Rheumatoid arthritis	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000685
GCST90446530	20549515	EFO_0000685	GCST90446530_EFO_0000685	20549515_EFO_0000685	Rheumatoid arthritis	459138.0	UKB	1.0000002	37947095	5.0	20549515	Rheumatoid arthritis	WTCCC	4798.0	EUR	1.0000001	5	20549515_EFO_0000685
GCST90013534	34375979	EFO_0000685	GCST90013534_EFO_0000685	34375979_EFO_0000685	Rheumatoid arthritis	311292.0		1.0000002	33310728	48.0	34375979	Rheumatoid arthritis	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000685
GCST90013534	20549515	EFO_0000685	GCST90013534_EFO_0000685	20549515_EFO_0000685	Rheumatoid arthritis	311292.0		1.0000002	33310728	48.0	20549515	Rheumatoid arthritis	WTCCC	4798.0	EUR	1.0000001	5	20549515_EFO_0000685
GCST90132222	34375979	EFO_0000685	GCST90132222_EFO_0000685	34375979_EFO_0000685	Rheumatoid arthritis	276020.0	CLEAR|BBJ|IORRA|EIRA|NARAC|NHS|Vanderbilt|WTCCC|other	1.0000002	36333501	76.0	34375979	Rheumatoid arthritis	UKB	281104.0	EUR	1.0000002	8	34375979_EFO_0000685
GCST90132222	20549515	EFO_0000685	GCST90132222_EFO_0000685	20549515_EFO_0000685	Rheumatoid arthritis	276020.0	CLEAR|BBJ|IORRA|EIRA|NARAC|NHS|Vanderbilt|WTCCC|other	1.0000002	36333501	76.0	20549515	Rheumatoid arthritis	WTCCC	4798.0	EUR	1.0000001	5	20549515_EFO_0000685
GCST007556	24151499	EFO_0003756	GCST007556_EFO_0003756	24151499_EFO_0003756	Autism spectrum disorder	46350.0		1.0000002	30804558	20.0	24151499	Autism spectrum disorders	AGP	1657.0	EUR	0.9528539	12	24151499_EFO_0003756
GCST010515	35982160	EFO_0003756	GCST010515_EFO_0003756	35982160_EFO_0003756	Autism spectrum disorder	12444.0		1.0000002	32747698	8.0	35982160	Autism spectrum disorder	Meta	63237.0	EUR	1.0000002	119	35982160_EFO_0003756
GCST010515	24151499	EFO_0003756	GCST010515_EFO_0003756	24151499_EFO_0003756	Autism spectrum disorder	12444.0		1.0000002	32747698	8.0	24151499	Autism spectrum disorders	AGP	1657.0	EUR	0.9528539	12	24151499_EFO_0003756
GCST003130	35982160	EFO_0003756	GCST003130_EFO_0003756	35982160_EFO_0003756	Autism spectrum disorder	1430.0		1.0000002	26398136	3.0	35982160	Autism spectrum disorder	Meta	63237.0	EUR	1.0000002	119	35982160_EFO_0003756
GCST003130	24151499	EFO_0003756	GCST003130_EFO_0003756	24151499_EFO_0003756	Autism spectrum disorder	1430.0		1.0000002	26398136	3.0	24151499	Autism spectrum disorders	AGP	1657.0	EUR	0.9528539	12	24151499_EFO_0003756
GCST012466	35982160	EFO_0003756	GCST012466_EFO_0003756	35982160_EFO_0003756	Autism spectrum disorder	658.0		1.0000002	34069769	4.0	35982160	Autism spectrum disorder	Meta	63237.0	EUR	1.0000002	119	35982160_EFO_0003756
GCST012466	24151499	EFO_0003756	GCST012466_EFO_0003756	24151499_EFO_0003756	Autism spectrum disorder	658.0		1.0000002	34069769	4.0	24151499	Autism spectrum disorders	AGP	1657.0	EUR	0.9528539	12	24151499_EFO_0003756
GCST010643	35982160	EFO_0003756	GCST010643_EFO_0003756	35982160_EFO_0003756	Autism spectrum disorder (MTAG)	60817.0		0.75535643	32606422	6.0	35982160	Autism spectrum disorder	Meta	63237.0	EUR	1.0000002	119	35982160_EFO_0003756
GCST010643	24151499	EFO_0003756	GCST010643_EFO_0003756	24151499_EFO_0003756	Autism spectrum disorder (MTAG)	60817.0		0.75535643	32606422	6.0	24151499	Autism spectrum disorders	AGP	1657.0	EUR	0.9528539	12	24151499_EFO_0003756
GCST90018839	28900119	EFO_0001065	GCST90018839_EFO_0001065	28900119_EFO_0001065	Endometriosis	314532.0	BBJ|UKB|FinnGen	1.0000002	34594039	5.0	28900119	Endometriosis	Mixed	28169.0	EUR	1.0000002	7	28900119_EFO_0001065
GCST004873	34375979	EFO_0001065	GCST004873_EFO_0001065	34375979_EFO_0001065	Endometriosis	3105.0		1.0000002	28881265	15.0	34375979	Endometriosis	UKB	146157.0	EUR	1.0	22	34375979_EFO_0001065
GCST004873	28900119	EFO_0001065	GCST004873_EFO_0001065	28900119_EFO_0001065	Endometriosis	3105.0		1.0000002	28881265	15.0	28900119	Endometriosis	Mixed	28169.0	EUR	1.0000002	7	28900119_EFO_0001065
GCST90258638	34375979	EFO_0001065	GCST90258638_EFO_0001065	34375979_EFO_0001065	Endometriosis	762600.0		1.0	36914876	20.0	34375979	Endometriosis	UKB	146157.0	EUR	1.0	22	34375979_EFO_0001065
GCST90258638	28900119	EFO_0001065	GCST90258638_EFO_0001065	28900119_EFO_0001065	Endometriosis	762600.0		1.0	36914876	20.0	28900119	Endometriosis	Mixed	28169.0	EUR	1.0000002	7	28900119_EFO_0001065
GCST004549	34375979	EFO_0001065	GCST004549_EFO_0001065	34375979_EFO_0001065	Endometriosis	208903.0		1.0	28537267	6.0	34375979	Endometriosis	UKB	146157.0	EUR	1.0	22	34375979_EFO_0001065
GCST004549	28900119	EFO_0001065	GCST004549_EFO_0001065	28900119_EFO_0001065	Endometriosis	208903.0		1.0	28537267	6.0	28900119	Endometriosis	Mixed	28169.0	EUR	1.0000002	7	28900119_EFO_0001065
GCST009832	34375979	EFO_0001065	GCST009832_EFO_0001065	34375979_EFO_0001065	Endometriosis	40201.0		1.0	31488892	11.0	34375979	Endometriosis	UKB	146157.0	EUR	1.0	22	34375979_EFO_0001065
GCST009832	28900119	EFO_0001065	GCST009832_EFO_0001065	28900119_EFO_0001065	Endometriosis	40201.0		1.0	31488892	11.0	28900119	Endometriosis	Mixed	28169.0	EUR	1.0000002	7	28900119_EFO_0001065
GCST90310294	34226706	EFO_0006335	GCST90310294_EFO_0006335	34226706_EFO_0006335	Systolic blood pressure	1028980.0	ICBP|UKB|MVP|BioVU	1.0000002	38689001	670.0	34226706	Systolic blood pressure	UKB	422713.0	EUR	1.0000002	16	34226706_EFO_0006335
GCST90310294	34662886	EFO_0006335	GCST90310294_EFO_0006335	34662886_EFO_0006335	Systolic blood pressure	1028980.0	ICBP|UKB|MVP|BioVU	1.0000002	38689001	670.0	34662886	Systolic blood pressure automated reading (4080)	UKB	408148.5555555556	EUR	0.7318127	4	34662886_EFO_0006335
GCST006624	33230300	EFO_0006335	GCST006624_EFO_0006335	33230300_EFO_0006335	Systolic blood pressure	757601.0		1.0000002	30224653	73.0	33230300	Systolic blood pressure	Mixed	670472.0	EUR	1.0000002	57	33230300_EFO_0006335
GCST006624	34226706	EFO_0006335	GCST006624_EFO_0006335	34226706_EFO_0006335	Systolic blood pressure	757601.0		1.0000002	30224653	73.0	34226706	Systolic blood pressure	UKB	422713.0	EUR	1.0000002	16	34226706_EFO_0006335
GCST006624	34662886	EFO_0006335	GCST006624_EFO_0006335	34662886_EFO_0006335	Systolic blood pressure	757601.0		1.0000002	30224653	73.0	34662886	Systolic blood pressure automated reading (4080)	UKB	408148.5555555556	EUR	0.7318127	4	34662886_EFO_0006335
GCST012376	33230300	EFO_0006335	GCST012376_EFO_0006335	33230300_EFO_0006335	Systolic blood pressure	670472.0	UKB|MVP	1.0000002	33230300	6.0	33230300	Systolic blood pressure	Mixed	670472.0	EUR	1.0000002	57	33230300_EFO_0006335
GCST012376	34226706	EFO_0006335	GCST012376_EFO_0006335	34226706_EFO_0006335	Systolic blood pressure	670472.0	UKB|MVP	1.0000002	33230300	6.0	34226706	Systolic blood pressure	UKB	422713.0	EUR	1.0000002	16	34226706_EFO_0006335
