Entrez	Chrom	Start	End	GeneSize	CDS_length
100038246	10	101089321	101141438	52117	1862
10004	11	65044818	65058553	13735	690
100048912	9	21994139	22212895	218756	2359
100049587	19	51639478	51646825	7347	5134
100049716	12	630858	664196	33338	1967
10005	20	45841721	45857405	15684	1154
10006	10	26746593	26861087	114494	3362
10007	5	141991749	142013041	21292	980
100073347	19	56840853	56848560	7707	1177
10008	11	74454841	74467729	12888	3064
10009	X	120250752	120258398	7646	5211
1001	16	68636189	68727468	91279	532
10010	2	161136908	161236230	99322	2152
100101116	Y	6390390	6411564	21174	910
100101118	Y	6462388	6473691	11303	549
100101120	Y	9706824	9723864	17040	709
100101267	7	75416786	75486299	69513	5867
100101268	7	74904289	74915078	10789	2901
100101467	18	35251058	35290245	39187	3439
100101490	20	31547379	31569541	22162	703
10011	5	140537340	140557677	20337	461
100113379	9	33952769	33952850	81	82
100113380	22	29333163	29333258	95	96
100113386	20	63953384	63956985	3601	3602
100113403	6	104864464	104941450	76986	610
100113404	9	13927971	13945610	17639	387
100113407	6	11537749	11583524	45775	8891
100124412	15	101953420	101956412	2992	1373
100124534	9	92292461	92292593	132	133
100124535	2	69520043	69520174	131	132
100124536	17	67740669	67740799	130	131
100124537	2	61417244	61417378	134	135
100124538	9	117181066	117181200	134	135
100124539	14	91126425	91126553	128	129
100124540	X	47388649	47388777	128	129
100124541	X	52190621	52190748	127	128
100124700	12	53962308	53975055	12747	1519
100125288	19	10304803	10309880	5077	628
100125556	3	125915413	125944291	28878	1437
100126270	X	147891981	147911817	19836	2005
100126296	20	58818226	58818313	87	88
100126297	14	101041363	101041445	82	83
100126301	X	147258760	147258850	90	91
100126302	X	134540185	134540262	77	78
100126303	X	145994275	145994351	76	77
100126304	X	146001053	146001131	78	79
100126306	X	145994784	145994860	76	77
100126307	X	145997198	145997274	76	77
100126308	14	101064495	101064578	83	84
100126309	8	99536786	99536861	75	76
100126310	9	28863626	28863706	80	81
100126311	15	45433050	45433129	79	80
100126313	17	12081899	12081996	97	98
100126314	6	30584332	30584417	85	86
100126315	14	100875033	100875104	71	72
100126316	9	28888879	28888955	76	77
100126317	X	74218547	74218618	71	72
100126318	22	21652981	21653058	77	78
100126319	2	56000714	56000795	81	82
100126320	12	24212421	24212495	74	75
100126321	3	197674496	197674576	80	81
100126323	18	39622123	39622175	52	53
100126324	X	136550878	136550960	82	83
100126325	19	53982307	53982397	90	91
100126326	10	104048089	104048186	97	98
100126327	10	29602264	29602346	82	83
100126328	16	2271747	2271840	93	94
100126329	20	63919449	63919520	71	72
100126330	20	63919756	63919827	71	72
100126331	1	117094643	117094728	85	86
100126332	4	1986384	1986477	93	94
100126333	11	79402022	79402109	87	88
100126334	3	10394489	10394562	73	74
100126335	14	101031987	101032064	77	78
100126336	14	23417987	23418063	76	77
100126337	X	147259652	147259726	74	75
100126338	8	143812957	143813042	85	86
100126339	20	63919505	63919576	71	72
100126340	3	189829922	189830009	87	88
100126341	X	146027794	146027872	78	79
100126342	X	145996669	145996743	74	75
100126343	5	137647572	137647649	77	78
100126345	14	101047901	101047979	78	79
100126346	1	154193665	154193743	78	79
100126347	5	15935182	15935260	78	79
100126348	1	93846832	93846911	79	80
100126349	1	166154743	166154798	55	56
100126350	2	175167633	175167709	76	77
100126351	8	144394149	144394230	81	82
100126352	20	63919561	63919632	71	72
100126354	4	110860582	110860647	65	66
100126355	16	14309285	14309371	86	87
100126356	17	31575411	31575521	110	111
100126572	6	142132925	142135358	2433	1288
100126791	3	4749192	4751590	2398	1464
100126793	3	10285754	10294903	9149	921
100127206	5	129748094	129766732	18638	2339
100127888	20	62663019	62666724	3705	673
100127950	7	43117896	43163188	45292	1839
100127967	12	52601467	52615305	13838	563
100127983	8	90958471	90985238	26767	1041
100128006	17	12760140	12790242	30102	3679
100128025	3	149656999	149661364	4365	975
100128071	1	32361270	32364278	3008	941
100128108	15	101736824	101746870	10046	579
100128126	8	73420004	73441526	21522	542
100128139	19	22532290	22537046	4756	624
100128164	3	169939353	169966738	27385	994
100128191	12	98512791	98516422	3631	3357
100128239	11	134031993	134067936	35943	2242
100128252	19	56477250	56504362	27112	1438
100128260	Y	57201135	57203405	2270	1228
100128264	7	155067034	155072450	5416	3629
100128327	6	116494989	116545684	50695	2421
100128385	9	113095149	113111543	16394	1344
100128386	11	100684161	100687968	3807	1879
100128398	19	58002061	58021943	19882	6438
100128420	X	136639531	136642546	3015	705
100128505	9	116504283	116564034	59751	1756
100128531	22	25102417	25112716	10299	957
100128553	7	144183466	144186080	2614	2615
100128554	12	126438837	126472790	33953	1257
100128560	17	10291816	10684235	392419	762
100128568	19	5978176	6020363	42187	639
100128569	19	3539171	3544030	4859	675
100128640	3	38451027	38454820	3793	2517
100128675	19	35027447	35106898	79451	3218
100128682	19	35399455	35419385	19930	728
100128688	X	151175175	151177836	2661	1620
100128714	15	25902119	26053125	151006	1967
100128731	2	27070472	27071654	1182	458
100128750	8	30380582	30385401	4819	909
100128782	9	95759231	95876241	117010	1040
100128788	16	2737070	2752620	15550	1778
100128881	16	89711856	89718165	6309	1753
100128882	16	88512960	88531053	18093	733
100128890	8	7263163	7355364	92201	4370
100128893	18	22087583	22169878	82295	710
100128905	2	174025280	174027163	1883	1884
100128908	14	23099062	23104989	5927	2656
100128927	14	104800596	104804712	4116	1411
100128946	22	48866770	48898386	31616	4015
100129029	2	158658337	158776987	118650	4067
100129053	11	95048142	95051338	3196	2637
100129060	3	50116022	50156085	40063	2755
100129066	9	89639688	89821498	181810	2228
100129075	14	55496786	55581068	84282	3095
100129128	6	73223544	73225770	2226	679
100129129	8	11345748	11347538	1790	1135
100129195	6	28008599	28137319	128720	633
100129196	1	30718504	30726846	8342	3925
100129213	10	18001786	18010562	8776	1966
100129216	11	71878453	71884561	6108	213
100129239	X	146814106	146814744	638	449
100129250	9	32551144	32568621	17477	1003
100129271	1	152719522	152720470	948	949
100129278	2	21123968	21144368	20400	7180
100129347	9	91118361	91183601	65240	3049
100129361	12	11171194	11176016	4822	4823
100129385	9	16203935	16410990	207055	379
100129396	17	16788879	16790501	1622	1623
100129407	X	72938163	72938958	795	453
100129427	7	50531759	50543463	11704	1776
100129461	6	5003774	5045951	42177	1253
100129480	3	12514934	12561059	46125	798
100129482	10	42513510	42552900	39390	8637
100129483	20	46345980	46364458	18478	5740
100129484	7	5426277	5428927	2650	2651
100129515	X	135118955	135120526	1571	388
100129518	6	159760258	159762332	2074	1718
100129520	X	125319871	125325216	5345	5344
100129543	19	23075210	23147221	72011	464
100129550	3	122886941	122892423	5482	5476
100129583	4	76214040	76283783	69743	1624
100129597	13	48576969	48590598	13629	1079
100129620	1	99004276	99244794	240518	2544
100129654	8	66946501	66962591	16090	2451
100129662	X	138711452	138716617	5165	584
100129669	9	24542952	24545946	2994	1245
100129716	5	91380347	91690788	310441	2500
100129722	9	137250219	137253497	3278	1701
100129724	2	26984776	27014645	29869	401
100129781	16	14301069	14331067	29998	1167
100129792	5	42756818	42802439	45621	1237
100129794	14	37171888	37173811	1923	1924
100129827	11	10541244	10606435	65191	665
100129836	13	110456396	110463287	6891	1522
100129842	19	20535825	20565809	29984	417
100129845	7	100589402	100605782	16380	2537
100129858	4	140283724	140373432	89708	2011
100129878	18	49021705	49048610	26905	659
100129917	4	760202	781874	21672	2617
100129924	1	42784991	42816619	31628	3404
100129940	12	65851340	65882167	30827	914
100129969	9	34889066	34895764	6698	967
100129995	2	27705786	27717258	11472	2907
10013	X	48801377	48824982	23605	4158
100130017	4	68182292	68212470	30178	1501
100130086	X	149592512	149595314	2802	1966
100130111	15	29664498	29705804	41306	2718
100130148	17	45895783	45898798	3015	3016
100130197	1	46674036	46692098	18062	500
100130231	8	125859721	126292788	433067	2210
100130249	1	234757619	234760056	2437	2438
100130264	20	19242302	19284596	42294	1789
100130274	8	143706694	143708109	1415	1320
100130275	6	10409340	10457192	47852	1575
100130301	8	73241331	73259530	18199	684
100130302	X	24360639	24367839	7200	7201
100130311	17	4899418	4902934	3516	1275
100130348	11	65084979	65089375	4396	4129
100130361	X	71714371	71718285	3914	532
100130386	13	113748511	113751089	2578	2579
100130417	1	916865	925614	8749	4152
100130449	2	240449315	240456760	7445	1540
100130480	18	6413730	6590653	176923	603
100130519	19	17435509	17448668	13159	2031
100130520	17	74560701	74567343	6642	606
100130522	18	80147907	80179839	31932	584
100130613	X	126819729	126821786	2057	1263
100130705	7	128866330	128872047	5717	3883
100130717	22	17159338	17165451	6113	318
100130733	5	62578819	62581446	2627	2163
100130742	8	91101832	91219257	117425	571
100130771	7	105565120	105600875	35755	797
100130776	12	57726271	57728356	2085	1500
100130827	19	55540656	55545543	4887	1270
100130880	7	137953348	137957966	4618	577
100130890	6	99520976	99589899	68923	2082
100130894	16	70755035	70773251	18216	2243
100130933	17	75646243	75647975	1732	866
100130950	17	5191999	5255713	63714	1044
100130954	9	135574935	135587112	12177	880
100130958	16	77199408	77213215	13807	1057
100130967	6	158869067	158948522	79455	1156
100130988	7	50095883	50159256	63373	1607
100131017	7	6637318	6658279	20961	7243
100131067	5	81201341	81301582	100241	572
100131089	15	40039242	40087903	48661	380
100131094	19	4679282	4695017	15735	3071
100131117	3	114351771	114388978	37207	1296
100131137	19	47968046	47992170	24124	654
100131138	12	110934267	110973930	39663	507
100131187	1	161037631	161038977	1346	591
100131193	9	136803927	136808848	4921	2386
100131211	2	190504338	190534722	30384	6172
100131213	10	75400962	75408982	8020	1481
100131244	15	40278372	40283064	4692	4693
100131303	16	68013436	68015911	2475	1185
100131315	15	32717270	32719007	1737	1738
100131366	14	103187216	103190251	3035	1387
100131378	11	33698261	33700826	2565	836
100131390	2	174334954	174338500	3546	2554
100131434	X	149527591	149540959	13368	618
100131439	17	74579365	74592283	12918	1303
100131454	17	752250	755757	3507	2725
100131608	8	7539627	7542450	2823	1588
100131655	18	76794732	76822295	27563	1295
100131691	19	58558591	58605223	46632	1990
100131726	8	123193501	123202743	9242	1295
100131755	X	101418287	101533459	115172	5399
100131801	19	7629788	7631956	2168	266
100131814	6	135497422	135894890	397468	2565
100131816	X	84934095	84934900	805	783
100131827	3	75678660	75785583	106923	1577
100131897	5	169861303	169980495	119192	5715
100131902	21	30289145	30289514	369	370
100131980	8	7355517	7385558	30041	3644
100131998	16	22418672	22437715	19043	3366
100132015	X	124246249	124336863	90614	1578
100132074	1	41361922	41383590	21668	2398
100132103	8	7955014	8008755	53741	1433
100132146	3	46612525	46626543	14018	1736
100132147	1	16514977	16535707	20730	1548
100132174	17	77709844	77728584	18740	2281
100132202	15	28553568	28563779	10211	4286
100132215	2	62957316	63048640	91324	738
100132234	13	27953526	27955370	1844	1845
100132247	16	22479121	22536540	57419	5708
100132288	21	8995098	9129773	134675	513
100132304	X	72781865	72782660	795	465
100132354	6	43890891	43938218	47327	908
100132386	17	41105389	41106488	1099	1100
100132396	8	7926337	7952413	26076	1207
100132399	X	49541733	49549094	7361	561
100132406	1	146064711	146229000	164289	13030
100132463	4	183321764	183322426	662	663
100132464	11	1683269	1685629	2360	1067
100132476	17	41084150	41085144	994	995
100132565	15	28378621	28392021	13400	474
100132596	Y	2752083	2854641	102558	1492
100132612	14	97749264	97763989	14725	3046
100132677	3	49534453	49554374	19921	2603
100132708	2	130680050	130691691	11641	2250
100132735	6	139677639	139860476	182837	1450
100132891	8	71828167	72118393	290226	485
100132916	5	64690442	64718190	27748	846
100132923	8	12115767	12202753	86986	3874
100132929	10	46369082	46373570	4488	503
100132932	Y	6256267	6263953	7686	2332
100132948	9	61854038	62096920	242882	2872
100132963	X	154823348	154834662	11314	1016
100132967	X	154571248	154571960	712	713
100132987	10	78179167	78675109	495942	1082
100132994	X	71763349	71767204	3855	1795
100133036	9	40223085	40349752	126667	1040
100133053	X	146809771	146810411	640	451
100133091	7	76549360	76689386	140026	2667
100133093	10	47487219	47491700	4481	374
100133123	X	13333952	13403035	69083	1456
100133205	6	26956915	27059749	102834	1023
100133220	15	85240472	85247170	6698	1679
100133234	8	55449509	55455139	5630	5631
100133251	8	7778591	7781413	2822	1587
100133267	8	12064389	12071747	7358	240
100133311	7	27129977	27155928	25951	562
100133315	11	71865504	71928654	63150	1167
100133461	4	3673593	3677920	4327	1033
100133545	11	1983237	1989993	6756	1949
100133612	1	3900187	3917547	17360	545
100133941	6	106969831	106975627	5796	2513
100133957	X	47658833	47692326	33493	565
100133985	2	70093885	70142950	49065	816
100134015	20	3106880	3150867	43987	1792
100134229	7	140177184	140179640	2456	2457
100134444	17	21692523	21704612	12089	2196
100134713	7	140695336	140697103	1767	1648
100134934	17	75979240	76000586	21346	974
100134938	7	102637025	102642791	5766	1342
100137047	15	41828092	41837581	9489	1409
100137049	15	41837775	41848147	10372	2985
10014	17	44076746	44123702	46956	5326
100141515	17	78146385	78166297	19912	1072
100142659	7	144266674	144269288	2614	2615
100144595	2	154435853	154457731	21878	2362
100144597	20	63038011	63053863	15852	1234
100144602	4	65668250	65708352	40102	463
100144603	22	50583026	50597599	14573	578
100144748	10	87859158	87863533	4375	4376
100147744	12	6943816	6943878	62	63
100147757	2	229606238	229606299	61	62
100147816	1	26602369	26602432	63	64
10015	3	33798571	33869707	71136	5884
100151643	21	30620627	30620850	223	224
100151657	1	64384398	64384459	61	62
100151674	10	35135443	35135502	59	60
100151682	8	79800133	79800195	62	63
100151683	2	121530881	121531007	126	127
100151684	9	134164439	134164564	125	126
10016	5	271621	314974	43353	1050
100169751	1	228610268	228610386	118	119
100169752	10	125574368	125603242	28874	749
100169753	1	228612509	228612627	118	119
100169754	1	228614750	228614868	118	119
100169755	1	228616991	228617109	118	119
100169756	1	228619232	228619350	118	119
100169757	1	228621447	228621565	118	119
100169758	1	228623667	228623785	118	119
100169759	1	228625909	228626027	118	119
100169760	1	228628148	228628266	118	119
100169761	1	228630390	228630508	118	119
100169762	1	228632631	228632749	118	119
100169763	1	228634871	228634989	118	119
100169764	1	228637096	228637214	118	119
100169765	1	228639337	228639455	118	119
100169766	1	228641568	228641686	118	119
100169767	1	228643809	228643927	118	119
100169768	1	228646040	228646158	118	119
100169851	11	125788127	125791600	3473	1320
10017	15	52109263	52112775	3512	1249
100170229	19	43596617	43614498	17881	2698
100170765	19	41443156	41444765	1609	948
100170841	17	38671703	38674957	3254	3255
10018	2	111119378	111168444	49066	572
100187716	3	184241405	184241489	84	85
100188847	16	2090195	2090284	89	90
100188893	6	41787662	41789898	2236	637
100188949	13	30316360	30377145	60785	737
100188953	9	96019724	96028033	8309	1805
100189589	2	74385474	74393882	8408	2371
10019	12	111405923	111451623	45700	5431
100190938	17	42753910	42761625	7715	3118
100190949	5	157671533	157680158	8625	721
100191040	1	151837818	151840557	2739	1560
100192378	8	76483936	76698953	215017	630
100192420	22	18029282	18044412	15130	2484
1002	20	61252261	61940617	688356	6678
10020	9	36214441	36277042	62601	5263
10021	15	73319859	73368958	49099	6922
100216001	10	4579241	4678216	98975	1537
100216545	7	104894628	105014321	119693	1832
10022	1	66797740	66801276	3536	736
10023	10	97319271	97321915	2644	2645
100233209	12	47135273	47216503	81230	635
10024	12	49323236	49331731	8495	348
10025	19	867630	893218	25588	3420
10026	1	77088989	77219430	130441	4601
100268168	5	172954666	172960081	5415	977
100270679	20	22054061	22074657	20596	693
100270680	8	127686343	127739022	52679	3301
100270804	20	18794078	18796067	1989	1990
100271702	12	1929202	1936574	7372	2350
100271715	2	38889875	38975454	85579	4638
100271846	19	53044740	53051680	6940	3033
100271849	19	19145567	19192131	46564	1425
100271873	6	160002409	160007664	5255	4374
100271927	7	102479976	102517777	37801	6307
100272147	X	155061622	155071136	9514	881
100286844	12	49827913	49841143	13230	2131
100287015	8	6315551	6407308	91757	2445
100287042	17	75271369	75273895	2526	2527
100287045	4	9170409	9176730	6321	2492
100287049	1	160261682	160281935	20253	1138
100287144	4	9210657	9212249	1592	1593
100287171	9	14475	73865	59390	1873
100287177	19	45641494	45643020	1526	889
100287178	4	9215405	9216997	1592	1593
100287205	4	9220152	9221744	1592	1593
100287225	18	51346249	51643939	297690	860
100287226	19	22286441	22317176	30735	3844
100287227	3	156634399	156817062	182663	725
100287238	4	9224896	9226488	1592	1593
100287284	12	27762427	27780236	17809	1667
100287314	12	30755074	30881888	126814	1552
100287327	4	9243879	9245471	1592	1593
100287362	3	46719583	46736429	16846	982
100287364	4	9248630	9250222	1592	1593
100287366	6	108123457	108159392	35935	1952
100287399	15	20835372	20866314	30942	1478
100287404	4	9253378	9254970	1592	1593
100287441	4	9258124	9259716	1592	1593
100287478	4	9262872	9264464	1592	1593
100287482	7	129502531	129512918	10387	969
100287513	4	9267619	9269211	1592	1593
100287520	11	59086307	59094786	8479	909
100287559	15	72782835	72798201	15366	2730
100287569	12	116533399	116536522	3123	1620
100287616	15	73898471	73928296	29825	1068
100287718	6	46746933	46759506	12573	1330
100287722	1	113812379	113901237	88858	773
100287879	3	64078361	64087363	9002	2129
100287896	11	74493366	74498533	5167	2493
100287898	1	2636986	2801693	164707	7780
100287902	1	236523052	236524508	1456	1457
100287932	10	45972489	46003742	31253	1190
100287948	1	181236388	181238604	2216	259
100288072	16	22162492	22192208	29716	1960
100288077	11	102746968	102836766	89798	546
100288122	18	13419421	13427480	8059	2190
100288142	1	145289900	145425603	135703	18760
100288181	8	142701857	142727056	25199	4194
100288198	6	79233697	79244087	10390	2965
100288287	21	30590105	30590397	292	293
100288323	21	30718525	30718777	252	253
100288332	16	15363628	15381047	17419	1084
100288413	4	52722618	52751586	28968	511
100288428	3	7951263	8611961	660698	2683
100288520	4	9234385	9236046	1661	1662
100288687	4	190173774	190185942	12168	1275
100288695	2	110445883	110473075	27192	2091
100288778	12	14522	32015	17493	1817
100288797	20	2816302	2820284	3982	3892
100288798	12	46383041	46876804	493763	793
100288801	3	75664328	75667220	2892	2033
100288814	X	9967358	9968352	994	995
100288831	3	9216895	9219508	2613	1223
100288842	9	120792403	120801787	9384	1661
100288846	14	39265703	39267113	1410	1411
100288866	17	49505657	49577962	72305	1221
100289061	1	150548562	150557724	9162	665
100289087	Y	9527880	9530682	2802	1161
100289092	16	28877938	28879950	2012	1999
100289098	7	66491001	66495758	4757	540
100289150	Y	9458613	9464357	5744	390
100289178	1	67832193	68202987	370794	743
100289187	7	99598267	99611045	12778	1345
100289188	Y	9479053	9484654	5601	467
100289211	1	147258885	147517879	258994	3088
100289255	17	10794908	10804099	9191	1535
100289274	13	95648711	95677367	28656	474
100289279	9	61330717	61453030	122313	1728
100289341	9	137084946	137086817	1871	1872
100289373	13	99181223	99201558	20335	1847
100289388	11	78139654	78187685	48031	728
100289462	8	7414855	7416863	2008	337
100289635	12	132918306	132956306	38000	9342
100289650	19	42821770	42826879	5109	1877
100289678	7	149262171	149297302	35131	2876
100292680	12	1500454	1510830	10376	2227
100293516	19	57819721	57846238	26517	3003
100294362	17	80351828	80415168	63340	3651
100294720	6	136982165	136993234	11069	1349
1003	16	66366690	66404784	38094	2138
100302111	X	154887360	154887458	98	99
100302112	3	71541970	71542089	119	120
100302113	7	36919357	36919432	75	76
100302114	X	147189704	147189787	83	84
100302115	X	63786002	63786087	85	86
100302116	10	14436576	14436661	85	86
100302118	22	20249134	20249211	77	78
100302119	16	69565808	69565868	60	61
100302121	15	85770496	85770578	82	83
100302122	7	21471058	21471146	88	89
100302123	6	33999972	34000051	79	80
100302124	17	16282014	16282088	74	75
100302125	20	35453954	35454097	143	144
100302126	2	231892242	231892298	56	57
100302127	19	15449548	15449608	60	61
100302128	2	113582959	113583096	137	138
100302129	10	21496562	21496641	79	80
100302130	2	207269275	207269424	149	150
100302131	18	30298910	30298960	50	51
100302132	1	231019828	231019924	96	97
100302133	10	98395218	98395307	89	90
100302134	5	133427596	133427706	110	111
100302136	12	79419257	79419321	64	65
100302137	20	63941465	63941544	79	80
100302138	20	2652777	2652842	65	66
100302139	1	235853000	235853060	60	61
100302140	7	18127220	18127309	89	90
100302141	6	166509354	166509433	79	80
100302142	2	176600980	176601052	72	73
100302143	3	186786672	186786777	105	106
100302144	X	114651544	114651623	79	80
100302145	14	101560287	101560422	135	136
100302146	20	50614636	50614785	149	150
100302147	8	141786242	141786313	71	72
100302148	3	164171471	164171556	85	86
100302149	22	45200954	45201019	65	66
100302150	10	63372957	63373048	91	92
100302152	7	34940760	34940834	74	75
100302153	X	114715233	114715344	111	112
100302155	1	20988314	20988432	118	119
100302156	5	179798278	179798346	68	69
100302157	14	101042977	101043062	85	86
100302158	1	201808611	201808702	91	92
100302159	5	110513829	110513915	86	87
100302160	15	34382069	34382150	81	82
100302161	8	127960633	127960695	62	63
100302163	1	193136503	193136583	80	81
100302164	6	98024531	98024621	90	91
100302166	8	10825373	10825443	70	71
100302167	9	40929010	40929092	82	83
100302168	20	61953546	61953662	116	117
100302170	8	128008898	128008956	58	59
100302171	X	85835780	85835858	78	79
100302172	2	179860836	179860908	72	73
100302174	10	103394253	103394401	148	149
100302175	8	128049152	128049238	86	87
100302177	4	66276824	66276928	104	105
100302178	1	171101728	171101806	78	79
100302179	19	20399272	20399354	82	83
100302181	5	154347106	154347247	141	142
100302182	12	69273157	69273218	61	62
100302183	20	32237795	32237847	52	53
100302184	15	64762387	64762515	128	129
100302185	8	127795962	127796028	66	67
100302186	8	8088941	8089089	148	149
100302187	13	54311972	54312048	76	77
100302188	4	113106863	113106955	92	93
100302190	1	26554542	26554593	51	52
100302191	X	84225752	84225828	76	77
100302192	10	54607874	54607957	83	84
100302193	4	101330302	101330414	112	113
100302196	8	144400086	144400165	79	80
100302197	22	20086058	20086142	84	85
100302201	12	57194504	57194576	72	73
100302202	15	52277117	52277200	83	84
100302203	5	176367946	176368031	85	86
100302204	3	125790404	125790552	148	149
100302205	19	53758232	53758318	86	87
100302208	17	2748078	2748182	104	105
100302209	14	101044198	101044283	85	86
100302210	19	1816159	1816238	79	80
100302211	17	48156427	48156511	84	85
100302212	3	75630763	75630858	95	96
100302213	19	10403458	10403538	80	81
100302214	X	118386394	118386471	77	78
100302217	12	100189884	100189949	65	66
100302218	7	92204015	92204098	83	84
100302219	2	188978092	188978161	69	70
100302220	12	50234142	50234212	70	71
100302221	12	48654444	48654530	86	87
100302222	X	114763184	114763263	79	80
100302223	9	97363554	97363681	127	128
100302224	10	114174105	114174179	74	75
100302225	8	112643493	112643583	90	91
100302226	19	10552122	10552204	82	83
100302227	12	112695034	112695176	142	143
100302228	11	90869121	90869202	81	82
100302229	17	81133196	81133308	112	113
100302232	3	47849555	47849629	74	75
100302233	15	22225278	22225329	51	52
100302234	1	220200538	220200619	81	82
100302235	15	88608107	88608197	90	91
100302236	14	77266218	77266290	72	73
100302237	22	41092513	41092566	53	54
100302238	5	168560904	168560965	61	62
100302239	X	32641474	32641559	85	86
100302240	11	93733674	93733764	90	91
100302242	6	31956839	31956940	101	102
100302243	16	15010321	15010397	76	77
100302246	2	25328640	25328721	81	82
100302250	14	101025564	101025651	87	88
100302251	X	114652655	114652723	68	69
100302254	15	43793659	43793759	100	101
100302255	19	53671968	53672040	72	73
100302256	17	19344506	19344574	68	69
100302257	18	49487373	49487422	49	50
100302258	15	96333261	96333307	46	47
100302259	6	155946797	155946879	82	83
100302260	8	74705693	74705747	54	55
100302261	16	85741621	85741700	79	80
100302263	11	61815161	61815240	79	80
100302265	19	53688481	53688567	86	87
100302267	4	125507259	125507307	48	49
100302268	2	70252918	70253005	87	88
100302270	4	182169293	182169378	85	86
100302274	12	119713634	119713724	90	91
100302275	11	94466495	94466580	85	86
100302276	1	18897071	18897148	77	78
100302277	4	9556168	9556316	148	149
100302278	1	30366	30503	137	138
100302279	1	68183518	68183610	92	93
100302280	11	64368602	64368703	101	102
100302281	8	128150116	128150188	72	73
100302282	20	3917502	3917563	61	62
100302283	19	2234062	2234149	87	88
100302284	5	154685776	154685861	85	86
100302285	2	231713314	231713398	84	85
100302286	13	107531171	107531248	77	78
100302287	17	13543529	13543646	117	118
100302288	5	100816482	100816565	83	84
100302289	12	97491909	97491978	69	70
100302290	4	116299725	116299768	43	44
100302401	1	178090677	178094444	3767	2831
100302522	8	133054959	133057767	2808	2809
100302691	1	234609295	234637418	28123	2270
100302692	X	73940435	74293574	353139	4008
100302736	5	115578642	115626161	47519	3491
100302743	2	10446714	10446849	135	136
100303491	2	144517978	144521477	3499	1647
100303728	X	119465986	119469783	3797	2033
100303755	20	18137863	18143169	5306	1151
100310812	7	102650319	102662625	12306	3214
100310846	7	6031376	6036552	5176	1423
100313770	11	70283955	70284070	115	116
100313771	2	212426263	212426360	97	98
100313772	X	95063141	95063226	85	86
100313773	16	11306440	11306527	87	88
100313774	11	7234766	7234837	71	72
100313777	11	43559656	43559753	97	98
100313778	13	52810050	52810140	90	91
100313779	17	43444806	43444885	79	80
100313780	9	94809962	94810057	95	96
100313781	X	154019920	154019989	69	70
100313806	4	36426366	36426428	62	63
100313822	X	147199044	147199127	83	84
100313824	2	132256966	132257080	114	115
100313829	7	102405742	102405855	113	114
100313830	14	64095024	64095125	101	102
100313835	1	167998660	167998726	66	67
100313837	16	30893903	30893985	82	83
100313838	X	114639435	114639519	84	85
100313839	X	150228004	150228083	79	80
100313840	3	48316360	48316459	99	100
100313841	10	12725254	12725353	99	100
100313842	13	24162416	24162504	88	89
100313843	3	48578902	48578977	75	76
100313884	8	27048853	27048963	110	111
100313886	15	59171183	59171262	79	80
100313887	5	93620696	93620788	92	93
100313892	1	51836344	51836402	58	59
100313895	7	147378017	147378121	104	105
100313914	22	26555212	26555323	111	112
100313921	10	110988926	110989013	87	88
100313923	5	55172262	55172353	91	92
100313938	4	147344629	147344717	88	89
100316904	7	100572228	100573900	1672	837
