Trait	Network	DensityRare	DensityCommon	DensityShared	Repeat	similarity
nearestGene_EFO_0006332_GCST90100525	pcnet2	0.0	0.125	0.0625	1	0.8227407651044357
nearestGene_EFO_0005266_GCST90100532	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0005266_GCST90100553	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0008036_GCST90094959	pcnet2	0.48	0.4444444444444444	0.5	1	0.8227407651044357
nearestGene_EFO_0008036_GCST90094960	pcnet2	0.375	0.375	0.5	1	0.8227407651044357
nearestGene_EFO_0009863_GCST007710	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0006525_GCST007459	pcnet2	0.01652892561983471	0.07142857142857142	0.0576	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90100572	pcnet2	0.0625	0.05555555555555555	0.07142857142857142	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90100573	pcnet2	0.07407407407407407	0.0	0.030612244897959183	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90100574	pcnet2	0.04081632653061224	0.05555555555555555	0.07100591715976332	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90092502	pcnet2	0.02666666666666667	0.01020408163265306	0.023781212841854936	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90092503	pcnet2	0.0078125	0.0078125	0.01953125	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90092504	pcnet2	0.02040816326530612	0.03550295857988166	0.013717421124828532	1	0.8227407651044357
nearestGene_EFO_0007117_GCST90092505	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0005423_GCST008789	pcnet2	0.0	0.05555555555555555	0.011834319526627219	1	0.8227407651044357
nearestGene_EFO_0005423_GCST008788	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0000731_GCST009158	pcnet2	0.047337278106508875	0.049586776859504134	0.052083333333333336	1	0.8227407651044357
nearestGene_EFO_0004343_GCST008996	pcnet2	0.03780864197530864	0.034407151290268174	0.03684518715373181	1	0.8227407651044357
nearestGene_EFO_0004343_GCST008997	pcnet2	0.0144	0.042355371900826444	0.031009506564056134	1	0.8227407651044357
nearestGene_EFO_0004343_GCST008998	pcnet2	0.025	0.02666666666666667	0.029387755102040815	1	0.8227407651044357
nearestGene_EFO_0004343_GCST90103754	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0010225_GCST90060151	pcnet2	0.2222222222222222	0.2222222222222222	0.2222222222222222	1	0.8227407651044357
nearestGene_EFO_0010225_GCST90060164	pcnet2	0.0	0.4444444444444444	0.20408163265306123	1	0.8227407651044357
nearestGene_EFO_0010821_GCST90016673	pcnet2	0.0	0.0	0.04938271604938271	1	0.8227407651044357
nearestGene_EFO_0004887_GCST90093316	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0004741_GCST90103632	pcnet2	0.030915576694411414	0.01040582726326743	0.025	1	0.8227407651044357
nearestGene_EFO_0004237_GCST90018627	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0000731_GCST90018714	pcnet2	0.08163265306122448	0.0	0.07142857142857142	1	0.8227407651044357
nearestGene_EFO_0004741_GCST90018728	pcnet2	0.013888888888888888	0.06944444444444445	0.041666666666666664	1	0.8227407651044357
nearestGene_EFO_0004237_GCST90018847	pcnet2	0.08163265306122448	0.1111111111111111	0.11834319526627218	1	0.8227407651044357
nearestGene_EFO_0000731_GCST90018934	pcnet2	0.046875	0.16	0.09171597633136094	1	0.8227407651044357
nearestGene_EFO_0004741_GCST90018948	pcnet2	0.03426555807508189	0.021301775147928994	0.02783203125	1	0.8227407651044357
nearestGene_EFO_0021898_GCST90269581	pcnet2	0.16	0.11570247933884298	0.13151927437641722	1	0.8227407651044357
nearestGene_EFO_0010821_GCST90267352	pcnet2	0.25	0.0	0.12244897959183673	1	0.8227407651044357
nearestGene_EFO_0009397_GCST90267931	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0009397_GCST90267932	pcnet2	0.0	0.0	0.05555555555555555	1	0.8227407651044357
nearestGene_EFO_0009397_GCST90267909	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0009397_GCST90267910	pcnet2	0.0	0.0	0.16	1	0.8227407651044357
nearestGene_EFO_0006525_GCST90179151	pcnet2	0.07256235827664399	0.049886621315192746	0.05555555555555555	1	0.8227407651044357
nearestGene_EFO_0004343_GCST90278649	pcnet2	0.1111111111111111	0.0	0.08333333333333333	1	0.8227407651044357
nearestGene_EFO_0004741_GCST90278623	pcnet2	0.02040816326530612	0.011834319526627219	0.02194787379972565	1	0.8227407651044357
nearestGene_EFO_0600008_GCST90268467	pcnet2	0.4444444444444444	0.125	0.32653061224489793	1	0.8227407651044357
nearestGene_EFO_0007850_GCST90281274	pcnet2	0.0	0.0	0.0	1	0.8227407651044357
nearestGene_EFO_0004741_GCST008062	pcnet2	0.018730489073881373	0.020202020202020204	0.02197265625	1	0.6846291612486531
nearestGene_EFO_0005213_GCST90000654	pcnet2	0.0886426592797784	0.006172839506172839	0.06866325785244703	1	0.6846291612486531
nearestGene_EFO_0010156_GCST010572	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0005213_GCST009414	pcnet2	0.03125	0.16326530612244897	0.14222222222222222	1	0.6846291612486531
nearestGene_EFO_0005213_GCST006366	pcnet2	0.0	0.125	0.03125	1	0.6846291612486531
nearestGene_EFO_0006501_GCST010536	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0006501_GCST010538	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0006501_GCST010541	pcnet2	0.125	0.0	0.04081632653061224	1	0.6846291612486531
nearestGene_EFO_0006332_GCST90100525	pcnet2	0.0	0.125	0.0625	1	0.6846291612486531
nearestGene_EFO_0005266_GCST90100532	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0005266_GCST90100553	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0008036_GCST90094959	pcnet2	0.4	0.4444444444444444	0.40625	1	0.6846291612486531
nearestGene_EFO_0008036_GCST90094960	pcnet2	0.375	0.375	0.40625	1	0.6846291612486531
nearestGene_EFO_0009863_GCST007710	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0006525_GCST007459	pcnet2	0.03305785123966942	0.07142857142857142	0.0576	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90100572	pcnet2	0.03125	0.05555555555555555	0.05102040816326531	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90100573	pcnet2	0.04938271604938271	0.0	0.02040816326530612	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90100574	pcnet2	0.04081632653061224	0.05555555555555555	0.05917159763313609	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90092502	pcnet2	0.035555555555555556	0.01020408163265306	0.028537455410225922	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90092503	pcnet2	0.0078125	0.0078125	0.017578125	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90092504	pcnet2	0.02040816326530612	0.0	0.0054869684499314125	1	0.6846291612486531
nearestGene_EFO_0007117_GCST90092505	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0005423_GCST008789	pcnet2	0.0	0.05555555555555555	0.011834319526627219	1	0.6846291612486531
nearestGene_EFO_0005423_GCST008788	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0000731_GCST009158	pcnet2	0.03550295857988166	0.03305785123966942	0.034722222222222224	1	0.6846291612486531
nearestGene_EFO_0004343_GCST008996	pcnet2	0.03279320987654321	0.030359251138471918	0.03414260618891041	1	0.6846291612486531
nearestGene_EFO_0004343_GCST008997	pcnet2	0.0144	0.0371900826446281	0.027840651878678135	1	0.6846291612486531
nearestGene_EFO_0004343_GCST008998	pcnet2	0.025	0.02666666666666667	0.03428571428571429	1	0.6846291612486531
nearestGene_EFO_0004343_GCST90103754	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0010225_GCST90060151	pcnet2	0.2222222222222222	0.0	0.16666666666666666	1	0.6846291612486531
nearestGene_EFO_0010225_GCST90060164	pcnet2	0.0	0.4444444444444444	0.20408163265306123	1	0.6846291612486531
nearestGene_EFO_0010821_GCST90016673	pcnet2	0.0	0.0	0.07407407407407407	1	0.6846291612486531
nearestGene_EFO_0004887_GCST90093316	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0004741_GCST90103632	pcnet2	0.023781212841854936	0.008324661810613945	0.021666666666666667	1	0.6846291612486531
nearestGene_EFO_0004237_GCST90018627	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0000731_GCST90018714	pcnet2	0.08163265306122448	0.0	0.05102040816326531	1	0.6846291612486531
nearestGene_EFO_0004741_GCST90018728	pcnet2	0.013888888888888888	0.05555555555555555	0.03125	1	0.6846291612486531
nearestGene_EFO_0004237_GCST90018847	pcnet2	0.12244897959183673	0.05555555555555555	0.10650887573964497	1	0.6846291612486531
nearestGene_EFO_0000731_GCST90018934	pcnet2	0.03125	0.14	0.07100591715976332	1	0.6846291612486531
nearestGene_EFO_0004741_GCST90018948	pcnet2	0.033761652809271854	0.02272189349112426	0.0262451171875	1	0.6846291612486531
nearestGene_EFO_0021898_GCST90269581	pcnet2	0.16	0.09917355371900827	0.12244897959183673	1	0.6846291612486531
nearestGene_EFO_0010821_GCST90267352	pcnet2	0.25	0.0	0.16326530612244897	1	0.6846291612486531
nearestGene_EFO_0009397_GCST90267931	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0009397_GCST90267932	pcnet2	0.0	0.0	0.05555555555555555	1	0.6846291612486531
nearestGene_EFO_0009397_GCST90267909	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0009397_GCST90267910	pcnet2	0.0	0.0	0.16	1	0.6846291612486531
nearestGene_EFO_0006525_GCST90179151	pcnet2	0.07256235827664399	0.045351473922902494	0.05328798185941043	1	0.6846291612486531
nearestGene_EFO_0004343_GCST90278649	pcnet2	0.1111111111111111	0.0	0.05555555555555555	1	0.6846291612486531
nearestGene_EFO_0004741_GCST90278623	pcnet2	0.02040816326530612	0.011834319526627219	0.013717421124828532	1	0.6846291612486531
nearestGene_EFO_0600008_GCST90268467	pcnet2	0.2222222222222222	0.125	0.24489795918367346	1	0.6846291612486531
nearestGene_EFO_0007850_GCST90281274	pcnet2	0.0	0.0	0.0	1	0.6846291612486531
nearestGene_EFO_0004741_GCST008062	pcnet2	0.018730489073881373	0.018365472910927456	0.02099609375	1	0.5770494975189845
nearestGene_EFO_0005213_GCST90000654	pcnet2	0.07756232686980609	0.018518518518518517	0.05843681519357195	1	0.5770494975189845
nearestGene_EFO_0010156_GCST010572	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0005213_GCST009414	pcnet2	0.0	0.16326530612244897	0.10666666666666667	1	0.5770494975189845
nearestGene_EFO_0005213_GCST006366	pcnet2	0.0	0.0	0.03125	1	0.5770494975189845
nearestGene_EFO_0006501_GCST010536	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0006501_GCST010538	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0006501_GCST010541	pcnet2	0.125	0.0	0.04081632653061224	1	0.5770494975189845
nearestGene_EFO_0006332_GCST90100525	pcnet2	0.0	0.125	0.0625	1	0.5770494975189845
nearestGene_EFO_0005266_GCST90100532	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0005266_GCST90100553	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0008036_GCST90094959	pcnet2	0.32	0.4444444444444444	0.3125	1	0.5770494975189845
nearestGene_EFO_0008036_GCST90094960	pcnet2	0.375	0.375	0.3125	1	0.5770494975189845
nearestGene_EFO_0009863_GCST007710	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0006525_GCST007459	pcnet2	0.03305785123966942	0.05102040816326531	0.048	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90100572	pcnet2	0.03125	0.05555555555555555	0.04081632653061224	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90100573	pcnet2	0.024691358024691357	0.0	0.01020408163265306	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90100574	pcnet2	0.04081632653061224	0.05555555555555555	0.047337278106508875	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90092502	pcnet2	0.044444444444444446	0.0	0.0356718192627824	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90092503	pcnet2	0.0078125	0.0078125	0.017578125	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90092504	pcnet2	0.02040816326530612	0.0	0.0054869684499314125	1	0.5770494975189845
nearestGene_EFO_0007117_GCST90092505	pcnet2	0.0	0.04081632653061224	0.006920415224913495	1	0.5770494975189845
nearestGene_EFO_0005423_GCST008789	pcnet2	0.0	0.05555555555555555	0.011834319526627219	1	0.5770494975189845
nearestGene_EFO_0005423_GCST008788	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0000731_GCST009158	pcnet2	0.03550295857988166	0.03305785123966942	0.03125	1	0.5770494975189845
nearestGene_EFO_0004343_GCST008996	pcnet2	0.030864197530864196	0.030696576151121605	0.031710283320571145	1	0.5770494975189845
nearestGene_EFO_0004343_GCST008997	pcnet2	0.0152	0.03202479338842975	0.02489814395654142	1	0.5770494975189845
nearestGene_EFO_0004343_GCST008998	pcnet2	0.03	0.008888888888888889	0.0326530612244898	1	0.5770494975189845
nearestGene_EFO_0004343_GCST90103754	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0010225_GCST90060151	pcnet2	0.2222222222222222	0.0	0.16666666666666666	1	0.5770494975189845
nearestGene_EFO_0010225_GCST90060164	pcnet2	0.0	0.4444444444444444	0.20408163265306123	1	0.5770494975189845
nearestGene_EFO_0010821_GCST90016673	pcnet2	0.08	0.0	0.04938271604938271	1	0.5770494975189845
nearestGene_EFO_0004887_GCST90093316	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0004741_GCST90103632	pcnet2	0.016646848989298454	0.008324661810613945	0.021666666666666667	1	0.5770494975189845
nearestGene_EFO_0004237_GCST90018627	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0000731_GCST90018714	pcnet2	0.04081632653061224	0.0	0.04081632653061224	1	0.5770494975189845
nearestGene_EFO_0004741_GCST90018728	pcnet2	0.0	0.05555555555555555	0.027777777777777776	1	0.5770494975189845
nearestGene_EFO_0004237_GCST90018847	pcnet2	0.16326530612244897	0.05555555555555555	0.10650887573964497	1	0.5770494975189845
nearestGene_EFO_0000731_GCST90018934	pcnet2	0.03125	0.18	0.0650887573964497	1	0.5770494975189845
nearestGene_EFO_0004741_GCST90018948	pcnet2	0.03224993701184178	0.020828402366863907	0.025634765625	1	0.5770494975189845
nearestGene_EFO_0021898_GCST90269581	pcnet2	0.14	0.09917355371900827	0.09977324263038549	1	0.5770494975189845
nearestGene_EFO_0010821_GCST90267352	pcnet2	0.125	0.0	0.12244897959183673	1	0.5770494975189845
nearestGene_EFO_0009397_GCST90267931	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0009397_GCST90267932	pcnet2	0.0	0.0	0.05555555555555555	1	0.5770494975189845
nearestGene_EFO_0009397_GCST90267909	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0009397_GCST90267910	pcnet2	0.0	0.0	0.08	1	0.5770494975189845
nearestGene_EFO_0006525_GCST90179151	pcnet2	0.05895691609977324	0.045351473922902494	0.05102040816326531	1	0.5770494975189845
nearestGene_EFO_0004343_GCST90278649	pcnet2	0.1111111111111111	0.0	0.041666666666666664	1	0.5770494975189845
nearestGene_EFO_0004741_GCST90278623	pcnet2	0.01020408163265306	0.011834319526627219	0.01646090534979424	1	0.5770494975189845
nearestGene_EFO_0600008_GCST90268467	pcnet2	0.4444444444444444	0.125	0.2857142857142857	1	0.5770494975189845
nearestGene_EFO_0007850_GCST90281274	pcnet2	0.0	0.0	0.0	1	0.5770494975189845
nearestGene_EFO_0004741_GCST008062	pcnet2	0.01664932362122789	0.014692378328741965	0.01708984375	1	0.4932151196090601
nearestGene_EFO_0005213_GCST90000654	pcnet2	0.07756232686980609	0.018518518518518517	0.05405405405405406	1	0.4932151196090601
nearestGene_EFO_0010156_GCST010572	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0005213_GCST009414	pcnet2	0.0	0.08163265306122448	0.07111111111111111	1	0.4932151196090601
nearestGene_EFO_0005213_GCST006366	pcnet2	0.0	0.0	0.03125	1	0.4932151196090601
nearestGene_EFO_0006501_GCST010536	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0006501_GCST010538	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0006501_GCST010541	pcnet2	0.125	0.0	0.04081632653061224	1	0.4932151196090601
nearestGene_EFO_0006332_GCST90100525	pcnet2	0.0	0.0	0.0625	1	0.4932151196090601
nearestGene_EFO_0005266_GCST90100532	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0005266_GCST90100553	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0008036_GCST90094959	pcnet2	0.32	0.2222222222222222	0.25	1	0.4932151196090601
nearestGene_EFO_0008036_GCST90094960	pcnet2	0.25	0.375	0.25	1	0.4932151196090601
nearestGene_EFO_0009863_GCST007710	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0006525_GCST007459	pcnet2	0.049586776859504134	0.030612244897959183	0.0416	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90100572	pcnet2	0.0625	0.0	0.030612244897959183	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90100573	pcnet2	0.024691358024691357	0.0	0.01020408163265306	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90100574	pcnet2	0.04081632653061224	0.0	0.03550295857988166	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90092502	pcnet2	0.044444444444444446	0.01020408163265306	0.03329369797859691	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90092503	pcnet2	0.0	0.0078125	0.013671875	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90092504	pcnet2	0.01020408163265306	0.0	0.0054869684499314125	1	0.4932151196090601
nearestGene_EFO_0007117_GCST90092505	pcnet2	0.0	0.04081632653061224	0.006920415224913495	1	0.4932151196090601
nearestGene_EFO_0005423_GCST008789	pcnet2	0.0	0.05555555555555555	0.011834319526627219	1	0.4932151196090601
nearestGene_EFO_0005423_GCST008788	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0000731_GCST009158	pcnet2	0.03550295857988166	0.049586776859504134	0.03125	1	0.4932151196090601
nearestGene_EFO_0004343_GCST008996	pcnet2	0.028935185185185185	0.031371226176420984	0.031079681095446152	1	0.4932151196090601
nearestGene_EFO_0004343_GCST008997	pcnet2	0.0136	0.03409090909090909	0.022861023087369852	1	0.4932151196090601
nearestGene_EFO_0004343_GCST008998	pcnet2	0.03	0.02666666666666667	0.035918367346938776	1	0.4932151196090601
nearestGene_EFO_0004343_GCST90103754	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0010225_GCST90060151	pcnet2	0.0	0.0	0.1111111111111111	1	0.4932151196090601
nearestGene_EFO_0010225_GCST90060164	pcnet2	0.0	0.2222222222222222	0.12244897959183673	1	0.4932151196090601
nearestGene_EFO_0010821_GCST90016673	pcnet2	0.16	0.0	0.07407407407407407	1	0.4932151196090601
nearestGene_EFO_0004887_GCST90093316	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0004741_GCST90103632	pcnet2	0.011890606420927468	0.01040582726326743	0.018333333333333333	1	0.4932151196090601
nearestGene_EFO_0004237_GCST90018627	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0000731_GCST90018714	pcnet2	0.04081632653061224	0.0	0.04081632653061224	1	0.4932151196090601
nearestGene_EFO_0004741_GCST90018728	pcnet2	0.0	0.027777777777777776	0.020833333333333332	1	0.4932151196090601
nearestGene_EFO_0004237_GCST90018847	pcnet2	0.08163265306122448	0.0	0.07100591715976332	1	0.4932151196090601
nearestGene_EFO_0000731_GCST90018934	pcnet2	0.03125	0.16	0.0621301775147929	1	0.4932151196090601
nearestGene_EFO_0004741_GCST90018948	pcnet2	0.03124212648022172	0.018461538461538463	0.0242919921875	1	0.4932151196090601
nearestGene_EFO_0021898_GCST90269581	pcnet2	0.14	0.049586776859504134	0.08616780045351474	1	0.4932151196090601
nearestGene_EFO_0010821_GCST90267352	pcnet2	0.25	0.0	0.16326530612244897	1	0.4932151196090601
nearestGene_EFO_0009397_GCST90267931	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0009397_GCST90267932	pcnet2	0.0	0.0	0.05555555555555555	1	0.4932151196090601
nearestGene_EFO_0009397_GCST90267909	pcnet2	0.0	0.0	0.0	1	0.4932151196090601
nearestGene_EFO_0009397_GCST90267910	pcnet2	0.0	0.0	0.08	1	0.4932151196090601
